Erm_kPa,nu,sig_0_kPa,phi_rad,eta,d_r_R_old,d_r_R_new
1000000.0,0.1,2500.0,0.17453292519943295,0,0.002750000000000004,0.0027500000000000003
1000000.0,0.1,2500.0,0.17453292519943295,1,0.006789253062099605,0.006840071037932104
1000000.0,0.1,2500.0,0.17453292519943295,2,0.013942460237427453,0.014355567203335941
1000000.0,0.1,2500.0,0.17453292519943295,3,0.023337404059413126,0.024306817065569808
1000000.0,0.1,2500.0,0.17453292519943295,4,0.03485951056727231,0.036537152291164894
1000000.0,0.1,2500.0,0.17453292519943295,5,0.04845813479203227,0.05098355954873916
1000000.0,0.1,2500.0,0.3490658503988659,0,0.002750000000000001,0.0027500000000000003
1000000.0,0.1,2500.0,0.3490658503988659,1,0.007760007088700899,0.007932642735179764
1000000.0,0.1,2500.0,0.3490658503988659,2,0.017087041411823038,0.017949621805056375
1000000.0,0.1,2500.0,0.3490658503988659,3,0.029883627413713806,0.031761147320866163
1000000.0,0.1,2500.0,0.3490658503988659,4,0.046086943645293324,0.049269947227246196
1000000.0,0.1,2500.0,0.3490658503988659,5,0.06568220377696658,0.07045272908273853
1000000.0,0.1,2500.0,0.5235987755982988,0,0.0027500000000000003,0.0027500000000000003
1000000.0,0.1,2500.0,0.5235987755982988,1,0.009114285714285715,0.009510989010989002
1000000.0,0.1,2500.0,0.5235987755982988,2,0.02138529411764705,0.022960407239819
1000000.0,0.1,2500.0,0.5235987755982988,3,0.038677419354838705,0.04195905707196034
1000000.0,0.1,2500.0,0.5235987755982988,4,0.06093775510204083,0.06642739403453682
1000000.0,0.1,2500.0,0.5235987755982988,5,0.08815492957746485,0.09634832069339128
1000000.0,0.1,2500.0,0.6981317007977318,0,0.0027500000000000003,0.0027500000000000003
1000000.0,0.1,2500.0,0.6981317007977318,1,0.010913806782009556,0.011660497061878104
1000000.0,0.1,2500.0,0.6981317007977318,2,0.026633753587404368,0.029196014362715166
1000000.0,0.1,2500.0,0.6981317007977318,3,0.04883294892031736,0.05397754340921512
1000000.0,0.1,2500.0,0.6981317007977318,4,0.07743175930587011,0.08590595318568746
1000000.0,0.1,2500.0,0.6981317007977318,5,0.11240956340227927,0.12495674925997108
1000000.0,0.1,2500.0,0.8726646259971648,0,0.00275,0.0027500000000000003
1000000.0,0.1,2500.0,0.8726646259971648,1,0.013005681807124948,0.014209301487318004
1000000.0,0.1,2500.0,0.8726646259971648,2,0.031933275362594674,0.035626769176707804
1000000.0,0.1,2500.0,0.8726646259971648,3,0.05847233966997922,0.0656593644443262
1000000.0,0.1,2500.0,0.8726646259971648,4,0.09259858683552818,0.10427802993496198
1000000.0,0.1,2500.0,0.8726646259971648,5,0.13430937589915984,0.15147969100924472
5000000.0,0.1,2500.0,0.17453292519943295,0,0.0005500000000000008,0.00055
5000000.0,0.1,2500.0,0.17453292519943295,1,0.001357850612419921,0.0013680142075864206
5000000.0,0.1,2500.0,0.17453292519943295,2,0.002788492047485491,0.0028711134406671883
5000000.0,0.1,2500.0,0.17453292519943295,3,0.004667480811882626,0.004861363413113961
5000000.0,0.1,2500.0,0.17453292519943295,4,0.006971902113454461,0.0073074304582329795
5000000.0,0.1,2500.0,0.17453292519943295,5,0.009691626958406457,0.010196711909747833
5000000.0,0.1,2500.0,0.3490658503988659,0,0.0005500000000000002,0.00055
5000000.0,0.1,2500.0,0.3490658503988659,1,0.0015520014177401796,0.001586528547035953
5000000.0,0.1,2500.0,0.3490658503988659,2,0.0034174082823646076,0.0035899243610112747
5000000.0,0.1,2500.0,0.3490658503988659,3,0.005976725482742761,0.006352229464173232
5000000.0,0.1,2500.0,0.3490658503988659,4,0.009217388729058664,0.009853989445449239
5000000.0,0.1,2500.0,0.3490658503988659,5,0.013136440755393318,0.014090545816547704
5000000.0,0.1,2500.0,0.5235987755982988,0,0.00055,0.00055
5000000.0,0.1,2500.0,0.5235987755982988,1,0.0018228571428571432,0.0019021978021978006
5000000.0,0.1,2500.0,0.5235987755982988,2,0.004277058823529411,0.004592081447963799
5000000.0,0.1,2500.0,0.5235987755982988,3,0.007735483870967741,0.008391811414392068
5000000.0,0.1,2500.0,0.5235987755982988,4,0.012187551020408164,0.013285478806907362
5000000.0,0.1,2500.0,0.5235987755982988,5,0.017630985915492968,0.019269664138678255
5000000.0,0.1,2500.0,0.6981317007977318,0,0.00055,0.00055
5000000.0,0.1,2500.0,0.6981317007977318,1,0.0021827613564019115,0.002332099412375621
5000000.0,0.1,2500.0,0.6981317007977318,2,0.005326750717480873,0.0058392028725430326
5000000.0,0.1,2500.0,0.6981317007977318,3,0.009766589784063473,0.010795508681843024
5000000.0,0.1,2500.0,0.6981317007977318,4,0.015486351861174023,0.01718119063713749
5000000.0,0.1,2500.0,0.6981317007977318,5,0.022481912680455858,0.024991349851994214
5000000.0,0.1,2500.0,0.8726646259971648,0,0.0005499999999999999,0.00055
5000000.0,0.1,2500.0,0.8726646259971648,1,0.0026011363614249893,0.002841860297463601
5000000.0,0.1,2500.0,0.8726646259971648,2,0.006386655072518934,0.00712535383534156
5000000.0,0.1,2500.0,0.8726646259971648,3,0.011694467933995844,0.013131872888865241
5000000.0,0.1,2500.0,0.8726646259971648,4,0.018519717367105636,0.020855605986992397
5000000.0,0.1,2500.0,0.8726646259971648,5,0.02686187517983197,0.03029593820184894
10000000.0,0.1,2500.0,0.17453292519943295,0,0.0002750000000000004,0.000275
10000000.0,0.1,2500.0,0.17453292519943295,1,0.0006789253062099605,0.0006840071037932103
10000000.0,0.1,2500.0,0.17453292519943295,2,0.0013942460237427454,0.0014355567203335941
10000000.0,0.1,2500.0,0.17453292519943295,3,0.002333740405941313,0.0024306817065569805
10000000.0,0.1,2500.0,0.17453292519943295,4,0.0034859510567272307,0.0036537152291164898
10000000.0,0.1,2500.0,0.17453292519943295,5,0.004845813479203228,0.005098355954873917
10000000.0,0.1,2500.0,0.3490658503988659,0,0.0002750000000000001,0.000275
10000000.0,0.1,2500.0,0.3490658503988659,1,0.0007760007088700898,0.0007932642735179765
10000000.0,0.1,2500.0,0.3490658503988659,2,0.0017087041411823038,0.0017949621805056373
10000000.0,0.1,2500.0,0.3490658503988659,3,0.0029883627413713806,0.003176114732086616
10000000.0,0.1,2500.0,0.3490658503988659,4,0.004608694364529332,0.004926994722724619
10000000.0,0.1,2500.0,0.3490658503988659,5,0.006568220377696659,0.007045272908273852
10000000.0,0.1,2500.0,0.5235987755982988,0,0.000275,0.000275
10000000.0,0.1,2500.0,0.5235987755982988,1,0.0009114285714285716,0.0009510989010989003
10000000.0,0.1,2500.0,0.5235987755982988,2,0.0021385294117647054,0.0022960407239818997
10000000.0,0.1,2500.0,0.5235987755982988,3,0.0038677419354838706,0.004195905707196034
10000000.0,0.1,2500.0,0.5235987755982988,4,0.006093775510204082,0.006642739403453681
10000000.0,0.1,2500.0,0.5235987755982988,5,0.008815492957746484,0.009634832069339128
10000000.0,0.1,2500.0,0.6981317007977318,0,0.000275,0.000275
10000000.0,0.1,2500.0,0.6981317007977318,1,0.0010913806782009558,0.0011660497061878104
10000000.0,0.1,2500.0,0.6981317007977318,2,0.0026633753587404366,0.0029196014362715163
10000000.0,0.1,2500.0,0.6981317007977318,3,0.0048832948920317365,0.005397754340921512
10000000.0,0.1,2500.0,0.6981317007977318,4,0.007743175930587012,0.008590595318568746
10000000.0,0.1,2500.0,0.6981317007977318,5,0.011240956340227929,0.012495674925997107
10000000.0,0.1,2500.0,0.8726646259971648,0,0.00027499999999999996,0.000275
10000000.0,0.1,2500.0,0.8726646259971648,1,0.0013005681807124947,0.0014209301487318005
10000000.0,0.1,2500.0,0.8726646259971648,2,0.003193327536259467,0.00356267691767078
10000000.0,0.1,2500.0,0.8726646259971648,3,0.005847233966997922,0.0065659364444326206
10000000.0,0.1,2500.0,0.8726646259971648,4,0.009259858683552818,0.010427802993496198
10000000.0,0.1,2500.0,0.8726646259971648,5,0.013430937589915985,0.01514796910092447
1000000.0,0.2,2500.0,0.17453292519943295,0,0.0030000000000000066,0.003
1000000.0,0.2,2500.0,0.17453292519943295,1,0.006916851454157194,0.006920898137454828
1000000.0,0.2,2500.0,0.17453292519943295,2,0.013853294775687228,0.013982586861239939
1000000.0,0.2,2500.0,0.17453292519943295,3,0.022963543330340005,0.023317691094750508
1000000.0,0.2,2500.0,0.17453292519943295,4,0.034136495095536776,0.03478588408867727
1000000.0,0.2,2500.0,0.17453292519943295,5,0.047323039798334327,0.0483298163207276
1000000.0,0.2,2500.0,0.3490658503988659,0,0.0030000000000000022,0.003
1000000.0,0.2,2500.0,0.3490658503988659,1,0.007858188692073598,0.007909115390316006
1000000.0,0.2,2500.0,0.3490658503988659,2,0.01690258561146477,0.017256945516468464
1000000.0,0.2,2500.0,0.3490658503988659,3,0.029311396279964902,0.03013332044713753
1000000.0,0.2,2500.0,0.3490658503988659,4,0.04502370292876928,0.04645292600843156
1000000.0,0.2,2500.0,0.3490658503988659,5,0.06402516729887668,0.06619538365602291
1000000.0,0.2,2500.0,0.5235987755982988,0,0.003,0.003
1000000.0,0.2,2500.0,0.5235987755982988,1,0.009171428571428573,0.009336038961038953
1000000.0,0.2,2500.0,0.5235987755982988,2,0.021070588235294112,0.021812165775401064
1000000.0,0.2,2500.0,0.5235987755982988,3,0.037838709677419355,0.039427785923753705
1000000.0,0.2,2500.0,0.5235987755982988,4,0.05942448979591836,0.0621129406307977
1000000.0,0.2,2500.0,0.5235987755982988,5,0.08581690140845075,0.08985259282970566
1000000.0,0.2,2500.0,0.6981317007977318,0,0.0029999999999999988,0.003
1000000.0,0.2,2500.0,0.6981317007977318,1,0.010916418697706237,0.011276472725510618
1000000.0,0.2,2500.0,0.6981317007977318,2,0.026160003478695144,0.0274622225274014
1000000.0,0.2,2500.0,0.6981317007977318,3,0.04768649592273199,0.05033304291371635
1000000.0,0.2,2500.0,0.6981317007977318,4,0.07541867569054071,0.079799215540911
1000000.0,0.2,2500.0,0.6981317007977318,5,0.10933654632948293,0.11583838945327056
1000000.0,0.2,2500.0,0.8726646259971648,0,0.003,0.003
1000000.0,0.2,2500.0,0.8726646259971648,1,0.012944903570545402,0.01357153755237079
1000000.0,0.2,2500.0,0.8726646259971648,2,0.03129893368494029,0.033262600220068946
1000000.0,0.2,2500.0,0.8726646259971648,3,0.057033783922404095,0.06087394342306625
1000000.0,0.2,2500.0,0.8726646259971648,4,0.09012590238596672,0.09637911874315286
1000000.0,0.2,2500.0,0.8726646259971648,5,0.13057272814463985,0.13977531399197385
5000000.0,0.2,2500.0,0.17453292519943295,0,0.0006000000000000012,0.0006
5000000.0,0.2,2500.0,0.17453292519943295,1,0.0013833702908314389,0.0013841796274909654
5000000.0,0.2,2500.0,0.17453292519943295,2,0.0027706589551374458,0.0027965173722479877
5000000.0,0.2,2500.0,0.17453292519943295,3,0.004592708666068,0.004663538218950101
5000000.0,0.2,2500.0,0.17453292519943295,4,0.0068272990191073565,0.006957176817735454
5000000.0,0.2,2500.0,0.17453292519943295,5,0.009464607959666867,0.00966596326414552
5000000.0,0.2,2500.0,0.3490658503988659,0,0.0006000000000000004,0.0006
5000000.0,0.2,2500.0,0.3490658503988659,1,0.0015716377384147196,0.0015818230780632013
5000000.0,0.2,2500.0,0.3490658503988659,2,0.003380517122292953,0.0034513891032936926
5000000.0,0.2,2500.0,0.3490658503988659,3,0.005862279255992981,0.0060266640894275055
5000000.0,0.2,2500.0,0.3490658503988659,4,0.009004740585753858,0.009290585201686312
5000000.0,0.2,2500.0,0.3490658503988659,5,0.012805033459775336,0.013239076731204582
5000000.0,0.2,2500.0,0.5235987755982988,0,0.0006,0.0006
5000000.0,0.2,2500.0,0.5235987755982988,1,0.0018342857142857143,0.00186720779220779
5000000.0,0.2,2500.0,0.5235987755982988,2,0.004214117647058822,0.004362433155080212
5000000.0,0.2,2500.0,0.5235987755982988,3,0.00756774193548387,0.00788555718475074
5000000.0,0.2,2500.0,0.5235987755982988,4,0.011884897959183674,0.012422588126159538
5000000.0,0.2,2500.0,0.5235987755982988,5,0.01716338028169015,0.01797051856594113
5000000.0,0.2,2500.0,0.6981317007977318,0,0.0005999999999999997,0.0006
5000000.0,0.2,2500.0,0.6981317007977318,1,0.0021832837395412475,0.0022552945451021237
5000000.0,0.2,2500.0,0.6981317007977318,2,0.005232000695739029,0.00549244450548028
5000000.0,0.2,2500.0,0.6981317007977318,3,0.009537299184546398,0.010066608582743268
5000000.0,0.2,2500.0,0.6981317007977318,4,0.015083735138108142,0.015959843108182197
5000000.0,0.2,2500.0,0.6981317007977318,5,0.02186730926589659,0.023167677890654107
5000000.0,0.2,2500.0,0.8726646259971648,0,0.0006,0.0006
5000000.0,0.2,2500.0,0.8726646259971648,1,0.0025889807141090803,0.0027143075104741577
5000000.0,0.2,2500.0,0.8726646259971648,2,0.006259786736988058,0.006652520044013788
5000000.0,0.2,2500.0,0.8726646259971648,3,0.01140675678448082,0.012174788684613249
5000000.0,0.2,2500.0,0.8726646259971648,4,0.018025180477193346,0.019275823748630568
5000000.0,0.2,2500.0,0.8726646259971648,5,0.026114545628927965,0.027955062798394766
10000000.0,0.2,2500.0,0.17453292519943295,0,0.0003000000000000006,0.0003
10000000.0,0.2,2500.0,0.17453292519943295,1,0.0006916851454157194,0.0006920898137454827
10000000.0,0.2,2500.0,0.17453292519943295,2,0.0013853294775687229,0.0013982586861239939
10000000.0,0.2,2500.0,0.17453292519943295,3,0.002296354333034,0.0023317691094750506
10000000.0,0.2,2500.0,0.17453292519943295,4,0.0034136495095536783,0.003478588408867727
10000000.0,0.2,2500.0,0.17453292519943295,5,0.004732303979833433,0.00483298163207276
10000000.0,0.2,2500.0,0.3490658503988659,0,0.0003000000000000002,0.0003
10000000.0,0.2,2500.0,0.3490658503988659,1,0.0007858188692073598,0.0007909115390316006
10000000.0,0.2,2500.0,0.3490658503988659,2,0.0016902585611464765,0.0017256945516468463
10000000.0,0.2,2500.0,0.3490658503988659,3,0.0029311396279964905,0.0030133320447137527
10000000.0,0.2,2500.0,0.3490658503988659,4,0.004502370292876929,0.004645292600843156
10000000.0,0.2,2500.0,0.3490658503988659,5,0.006402516729887668,0.006619538365602291
10000000.0,0.2,2500.0,0.5235987755982988,0,0.0003,0.0003
10000000.0,0.2,2500.0,0.5235987755982988,1,0.0009171428571428571,0.000933603896103895
10000000.0,0.2,2500.0,0.5235987755982988,2,0.002107058823529411,0.002181216577540106
10000000.0,0.2,2500.0,0.5235987755982988,3,0.003783870967741935,0.00394277859237537
10000000.0,0.2,2500.0,0.5235987755982988,4,0.005942448979591837,0.006211294063079769
10000000.0,0.2,2500.0,0.5235987755982988,5,0.008581690140845075,0.008985259282970564
10000000.0,0.2,2500.0,0.6981317007977318,0,0.00029999999999999987,0.0003
10000000.0,0.2,2500.0,0.6981317007977318,1,0.0010916418697706238,0.0011276472725510619
10000000.0,0.2,2500.0,0.6981317007977318,2,0.0026160003478695147,0.00274622225274014
10000000.0,0.2,2500.0,0.6981317007977318,3,0.004768649592273199,0.005033304291371634
10000000.0,0.2,2500.0,0.6981317007977318,4,0.007541867569054071,0.007979921554091099
10000000.0,0.2,2500.0,0.6981317007977318,5,0.010933654632948295,0.011583838945327054
10000000.0,0.2,2500.0,0.8726646259971648,0,0.0003,0.0003
10000000.0,0.2,2500.0,0.8726646259971648,1,0.0012944903570545402,0.0013571537552370789
10000000.0,0.2,2500.0,0.8726646259971648,2,0.003129893368494029,0.003326260022006894
10000000.0,0.2,2500.0,0.8726646259971648,3,0.00570337839224041,0.006087394342306624
10000000.0,0.2,2500.0,0.8726646259971648,4,0.009012590238596673,0.009637911874315284
10000000.0,0.2,2500.0,0.8726646259971648,5,0.013057272814463982,0.013977531399197383
1000000.0,0.3,2500.0,0.17453292519943295,0,0.0032500000000000025,0.0032500000000000003
1000000.0,0.3,2500.0,0.17453292519943295,1,0.006962848774253173,0.0069628487742531735
1000000.0,0.3,2500.0,0.17453292519943295,2,0.013538019006120186,0.013549651497711953
1000000.0,0.3,2500.0,0.17453292519943295,3,0.02217377544855146,0.02223371616130844
1000000.0,0.3,2500.0,0.17453292519943295,4,0.03276480264264424,0.03289697244661232
1000000.0,0.3,2500.0,0.17453292519943295,5,0.04526454814217109,0.045487922741871835
1000000.0,0.3,2500.0,0.3490658503988659,0,0.0032499999999999994,0.0032500000000000003
1000000.0,0.3,2500.0,0.3490658503988659,1,0.007855158031028098,0.007858243556216506
1000000.0,0.3,2500.0,0.3490658503988659,2,0.016428492610867644,0.016511318031001063
1000000.0,0.3,2500.0,0.3490658503988659,3,0.028191011057050068,0.028417410262157727
1000000.0,0.3,2500.0,0.3490658503988659,4,0.04308496840122922,0.04350333642907494
1000000.0,0.3,2500.0,0.3490658503988659,5,0.061096773168726866,0.06175167247936889
1000000.0,0.3,2500.0,0.5235987755982988,0,0.003249999999999999,0.0032500000000000003
1000000.0,0.3,2500.0,0.5235987755982988,1,0.009100000000000002,0.009138888888888879
1000000.0,0.3,2500.0,0.5235987755982988,2,0.02037941176470588,0.020617647058823522
1000000.0,0.3,2500.0,0.5235987755982988,3,0.036274193548387096,0.03681630824372763
1000000.0,0.3,2500.0,0.5235987755982988,4,0.056735714285714285,0.057674603174603094
1000000.0,0.3,2500.0,0.5235987755982988,5,0.08175352112676061,0.08317957746478885
1000000.0,0.3,2500.0,0.6981317007977318,0,0.003249999999999999,0.0032500000000000003
1000000.0,0.3,2500.0,0.6981317007977318,1,0.01075410522386737,0.010874965969294131
1000000.0,0.3,2500.0,0.6981317007977318,2,0.025203753297513103,0.02568999152683097
1000000.0,0.3,2500.0,0.6981317007977318,3,0.04560907426008969,0.04662050882171977
1000000.0,0.3,2500.0,0.6981317007977318,4,0.0718968696649917,0.0735863183444009
1000000.0,0.3,2500.0,0.6981317007977318,5,0.10404818454148904,0.10656724010655196
1000000.0,0.3,2500.0,0.8726646259971648,0,0.003249999999999999,0.0032500000000000003
1000000.0,0.3,2500.0,0.8726646259971648,1,0.01267693984291283,0.012921019775456564
1000000.0,0.3,2500.0,0.8726646259971648,2,0.030075030888849656,0.03086980180732855
1000000.0,0.3,2500.0,0.8726646259971648,3,0.05446952434311222,0.05603763317225819
1000000.0,0.3,2500.0,0.8726646259971648,4,0.08583809497003096,0.0884006947606298
1000000.0,0.3,2500.0,0.8726646259971648,5,0.12417831522043989,0.12795643905022547
5000000.0,0.3,2500.0,0.17453292519943295,0,0.0006500000000000005,0.00065
5000000.0,0.3,2500.0,0.17453292519943295,1,0.0013925697548506342,0.0013925697548506347
5000000.0,0.3,2500.0,0.17453292519943295,2,0.002707603801224037,0.00270993029954239
5000000.0,0.3,2500.0,0.17453292519943295,3,0.0044347550897102924,0.004446743232261688
5000000.0,0.3,2500.0,0.17453292519943295,4,0.0065529605285288475,0.006579394489322465
5000000.0,0.3,2500.0,0.17453292519943295,5,0.009052909628434217,0.009097584548374367
5000000.0,0.3,2500.0,0.3490658503988659,0,0.0006499999999999999,0.00065
5000000.0,0.3,2500.0,0.3490658503988659,1,0.0015710316062056198,0.0015716487112433014
5000000.0,0.3,2500.0,0.3490658503988659,2,0.003285698522173529,0.0033022636062002126
5000000.0,0.3,2500.0,0.3490658503988659,3,0.005638202211410014,0.005683482052431545
5000000.0,0.3,2500.0,0.3490658503988659,4,0.008616993680245844,0.008700667285814988
5000000.0,0.3,2500.0,0.3490658503988659,5,0.012219354633745374,0.012350334495873779
5000000.0,0.3,2500.0,0.5235987755982988,0,0.0006499999999999998,0.00065
5000000.0,0.3,2500.0,0.5235987755982988,1,0.0018200000000000004,0.0018277777777777758
5000000.0,0.3,2500.0,0.5235987755982988,2,0.004075882352941176,0.004123529411764705
5000000.0,0.3,2500.0,0.5235987755982988,3,0.007254838709677419,0.0073632616487455255
5000000.0,0.3,2500.0,0.5235987755982988,4,0.011347142857142858,0.01153492063492062
5000000.0,0.3,2500.0,0.5235987755982988,5,0.01635070422535212,0.01663591549295777
5000000.0,0.3,2500.0,0.6981317007977318,0,0.0006499999999999998,0.00065
5000000.0,0.3,2500.0,0.6981317007977318,1,0.0021508210447734742,0.002174993193858826
5000000.0,0.3,2500.0,0.6981317007977318,2,0.005040750659502621,0.005137998305366194
5000000.0,0.3,2500.0,0.6981317007977318,3,0.00912181485201794,0.009324101764343952
5000000.0,0.3,2500.0,0.6981317007977318,4,0.014379373932998343,0.014717263668880178
5000000.0,0.3,2500.0,0.6981317007977318,5,0.02080963690829781,0.02131344802131039
5000000.0,0.3,2500.0,0.8726646259971648,0,0.0006499999999999998,0.00065
5000000.0,0.3,2500.0,0.8726646259971648,1,0.0025353879685825658,0.002584203955091313
5000000.0,0.3,2500.0,0.8726646259971648,2,0.0060150061777699305,0.00617396036146571
5000000.0,0.3,2500.0,0.8726646259971648,3,0.010893904868622446,0.011207526634451638
5000000.0,0.3,2500.0,0.8726646259971648,4,0.017167618994006192,0.01768013895212596
5000000.0,0.3,2500.0,0.8726646259971648,5,0.02483566304408797,0.02559128781004509
10000000.0,0.3,2500.0,0.17453292519943295,0,0.00032500000000000026,0.000325
10000000.0,0.3,2500.0,0.17453292519943295,1,0.0006962848774253171,0.0006962848774253173
10000000.0,0.3,2500.0,0.17453292519943295,2,0.0013538019006120185,0.001354965149771195
10000000.0,0.3,2500.0,0.17453292519943295,3,0.0022173775448551462,0.002223371616130844
10000000.0,0.3,2500.0,0.17453292519943295,4,0.0032764802642644237,0.0032896972446612325
10000000.0,0.3,2500.0,0.17453292519943295,5,0.004526454814217109,0.004548792274187184
10000000.0,0.3,2500.0,0.3490658503988659,0,0.00032499999999999993,0.000325
10000000.0,0.3,2500.0,0.3490658503988659,1,0.0007855158031028099,0.0007858243556216507
10000000.0,0.3,2500.0,0.3490658503988659,2,0.0016428492610867644,0.0016511318031001063
10000000.0,0.3,2500.0,0.3490658503988659,3,0.002819101105705007,0.0028417410262157727
10000000.0,0.3,2500.0,0.3490658503988659,4,0.004308496840122922,0.004350333642907494
10000000.0,0.3,2500.0,0.3490658503988659,5,0.006109677316872687,0.006175167247936889
10000000.0,0.3,2500.0,0.5235987755982988,0,0.0003249999999999999,0.000325
10000000.0,0.3,2500.0,0.5235987755982988,1,0.0009100000000000002,0.0009138888888888879
10000000.0,0.3,2500.0,0.5235987755982988,2,0.002037941176470588,0.0020617647058823524
10000000.0,0.3,2500.0,0.5235987755982988,3,0.0036274193548387094,0.0036816308243727627
10000000.0,0.3,2500.0,0.5235987755982988,4,0.005673571428571429,0.00576746031746031
10000000.0,0.3,2500.0,0.5235987755982988,5,0.00817535211267606,0.008317957746478885
10000000.0,0.3,2500.0,0.6981317007977318,0,0.0003249999999999999,0.000325
10000000.0,0.3,2500.0,0.6981317007977318,1,0.0010754105223867371,0.001087496596929413
10000000.0,0.3,2500.0,0.6981317007977318,2,0.0025203753297513105,0.002568999152683097
10000000.0,0.3,2500.0,0.6981317007977318,3,0.00456090742600897,0.004662050882171976
10000000.0,0.3,2500.0,0.6981317007977318,4,0.007189686966499171,0.007358631834440089
10000000.0,0.3,2500.0,0.6981317007977318,5,0.010404818454148906,0.010656724010655195
10000000.0,0.3,2500.0,0.8726646259971648,0,0.0003249999999999999,0.000325
10000000.0,0.3,2500.0,0.8726646259971648,1,0.0012676939842912829,0.0012921019775456565
10000000.0,0.3,2500.0,0.8726646259971648,2,0.0030075030888849653,0.003086980180732855
10000000.0,0.3,2500.0,0.8726646259971648,3,0.005446952434311223,0.005603763317225819
10000000.0,0.3,2500.0,0.8726646259971648,4,0.008583809497003096,0.00884006947606298
10000000.0,0.3,2500.0,0.8726646259971648,5,0.012417831522043985,0.012795643905022545
1000000.0,0.1,5000.0,0.17453292519943295,0,0.005500000000000008,0.0055000000000000005
1000000.0,0.1,5000.0,0.17453292519943295,1,0.01357850612419921,0.013680142075864208
1000000.0,0.1,5000.0,0.17453292519943295,2,0.027884920474854906,0.028711134406671883
1000000.0,0.1,5000.0,0.17453292519943295,3,0.04667480811882625,0.048613634131139616
1000000.0,0.1,5000.0,0.17453292519943295,4,0.06971902113454462,0.07307430458232979
1000000.0,0.1,5000.0,0.17453292519943295,5,0.09691626958406455,0.10196711909747833
1000000.0,0.1,5000.0,0.3490658503988659,0,0.005500000000000002,0.0055000000000000005
